Título;N. tombo;ISBN;Edição;Volume;Tipo de material;Forma de aquisição;Data do registro
Delicadezas;1.612.251;9788571050433;1. ed.;;Livro;DL;01/12/2021
Democracia brasileira em foco;1.612.708;9788593123412;;;Livro;DL;27/12/2021
Democracia e participação política;1.612.377;9788551913840;;;Livro;DL;03/12/2021
Derrote Mamom;1.612.719;9788577080991;2. ed., 4. reimpr.;;Livro;DL;27/12/2021
Desenhos do tempo;1.612.451;9786550340025;2. ed.;;Livro;DL;06/12/2021
Desestrangeirizar a língua inglesa;1.612.315;9788559711028;;;Livro;DL;03/12/2021
Desfolhando aldravias;1.612.345;9788540027404;;;Livro;DL;03/12/2021
Design de identidade da marca;1.612.286;9788582605134;;;Livro;DL;01/12/2021
Destinos invisíveis;1.612.592;9788563144591;1. ed.;;Livro;DL;07/12/2021
Deus ama as mulheres?;1.612.459;9788515045914;;;Livro;DL;06/12/2021
Diagnósticos de enfermagem;1.612.268;9788582714935;;;Livro;DL;01/12/2021
Diário da escola de assombrações;1.612.880;9788572580281;;;Livro;DL;29/12/2021
Diário de um garoto;1.612.539;9788540027275;;;Livro;DL;07/12/2021
Dicionário da língua popular regional do Araguaia;1.612.528;9788540027091;;;Livro;DL;07/12/2021
Direito administrativo de polícia judiciária;1.612.409;9788545006183;;;Livro;DL;06/12/2021
Direito do agronegócio;1.612.527;;;;Livro;DL;07/12/2021
Direito do trabalho e processo do trabalho;1.612.290;9788536199702;2. ed.;;Livro;DL;01/12/2021
Direito e literatura contra o racismo;1.612.326;9788566786781;;;Livro;DL;03/12/2021
Direito fundamental à memória e ao esquecimento;1.612.282;9788551913598;;;Livro;DL;01/12/2021
Direito imobiliário;1.612.739;9788577894550;2. ed. rev., atual. e ampl.;;Livro;DL;27/12/2021
Direito processual do trabalho;1.612.746;9788536199603;;;Livro;DL;27/12/2021
Direitos à integridade;1.612.335;9786580249008;;;Livro;DL;03/12/2021
Direitos fundamentais e direito internacional;1.612.851;9788593869549;;;Livro;DL;29/12/2021
Diretrizes para o kosen-rufu, vitória e felicidade;1.612.424;9788582520635;;;Livro;DL;06/12/2021
Discurso pronunciado pelo presidente da Sociedade Beneficencia Musical, no dia 10 de julho de 1834, por occasião da posse da nova administração;60082;;;;Livro;;13/12/2021
Ditadura no Brasil e censura nas canções de Rita Lee;1.612.685;9788547330330;;;Livro;DL;15/12/2021
Dízimo e a semente;1.612.492;9788540027756;;;Livro;DL;06/12/2021
DNA;1.612.890;9788594137500;;;Livro;DL;29/12/2021
Do Ainhum, algumas considerações sobre esta molestia a proposito de um caso communicado à Academia Imperial de Medicina do Rio de Janeiro pelo;60087;;;;Livro;;22/12/2021
Do canto ao canto;1.612.454;9788542013924;;;Livro;DL;06/12/2021
Do deserto ao destino;1.612.538;9788540027749;;;Livro;DL;07/12/2021
Documentos sobre terras em Caldas do Cubatão (Santo Amaro da Imperatriz, SC), defesa e recursos da capitania;1749224;;;;Documento textual;;20/12/2021
Dordocéu;1.612.892;9788540027213;2. ed.;;Livro;DL;29/12/2021
Ecochefs;1.612.450;9788577564545;;;Livro;DL;06/12/2021
Ecos terrestres do sul;1.612.280;9788575665640;2. ed., rev.;;Livro;DL;01/12/2021
Édipo;1.612.717;;;;Livro;DL;27/12/2021
Educação e desenvolvimento local;1.612.675;9788547332389;;;Livro;DL;15/12/2021
Educação emocional positiva;1.612.364;9788564468481;Ed., rev. e ampl.;;Livro;DL;03/12/2021
Educação física, esporte e queer;1.612.799;9788547328634;;;Livro;DL;27/12/2021
Efeitos biológicos do exercício aeróbico sobre o organismo humano de pessoas sedentárias de mais de trinta anos;1.612.487;9788580092707;;;Livro;DL;06/12/2021
Ei, desconecta!;1.612.848;9788555362972;;;Livro;DL;29/12/2021
Ela não é mulher pra casar;1.612.264;9788567147284;;;Livro;DL;01/12/2021
Ela prefere finais felizes;1.612.795;9788542216455;;;Livro;DL;27/12/2021
Electrificação da E. de F. Central do Brasil;121.696;;;;Livro;;30/12/2021
Empresário imobiliário em Fortaleza;1.612.818;9788551911778;;;Livro;DL;29/12/2021
Enciclopédia da mulher e da Família;413.612;;;12;Livro;CL;27/12/2021
Endocrinologia resumida;1.612.591;9788540026506;;;Livro;DL;07/12/2021
Enigma da mente;1.612.341;9788540025066;;;Livro;DL;03/12/2021
Entre o rumor e o silêncio;1.612.452;9788542013986;;;Livro;DL;06/12/2021
Entre risos e lágrimas;1.612.609;9788540028104;;;Livro;DL;09/12/2021
Entre sonhos e realidade;1.612.624;9788569062981;;;Livro;DL;09/12/2021
Entre sonhos e tempestades;1.612.882;9788574068343;;;Livro;DL;29/12/2021
Entre telas manchadas e imaculadas;1.612.832;9788593123337;;;Livro;DL;29/12/2021
EntreMeios;1.612.262;9788566887464;;;Livro;DL;01/12/2021
Escritos de direitos fundamentais;1.612.741;9788593869303;;;Livro;DL;27/12/2021
Esperando em Deus;1.612.604;9788540026995;;;Livro;DL;09/12/2021
Espírito, perispírito e alma;1.612.728;9788576580935;5. ed.;;Livro;DL;27/12/2021
Espiritualidade e diálogo;1.612.775;9788593123399;;;Livro;DL;27/12/2021
Estado constitucional;1.612.767;9788593869464;;;Livro;DL;27/12/2021
Estou professor e agora?;1.612.485;9788540026872;;;Livro;DL;06/12/2021
Estudos avançados em arquivologia;1.612.325;9788579832666;;;Livro;DL;03/12/2021
Estudos em comemoração aos 70 anos da Declaração Universal dos Direitos Humanos;1.612.789;9788594116581;;;Livro;DL;27/12/2021
Ética;1.612.266;9788561484460;3. ed.;;Livro;DL;01/12/2021
Ética, democracia e direitos humanos;1.612.598;9788520507742;;;Livro;DL;07/12/2021
Eu nunca fui ao Brasil;1.612.301;9788566786897;;;Livro;DL;03/12/2021
Eu sou dinamite!;1.612.676;9788542216448;;;Livro;DL;15/12/2021
Eugenia e medicina social (problemas da vida);60074;;;;Livro;;13/12/2021
Experiências metodológicas em textualidades midiáticas;1.612.329;9788566786903;;;Livro;DL;03/12/2021
Experimentais;1.612.634;9788566382211;;;Livro;DL;09/12/2021
Exposição de adolescentes acusados de atos infracionais no espaço cibernético;1.612.408;9788551913376;;;Livro;DL;06/12/2021
